,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,Accuracy
631,entropy,10.0,1,2.0,10,0.5841194968553458
632,entropy,10.0,1,2.0,100,0.5841194968553458
633,entropy,10.0,1,2.0,1000,0.5841194968553458
634,entropy,10.0,1,3.0,1,0.5841194968553458
635,entropy,10.0,1,3.0,10,0.5841194968553458
636,entropy,10.0,1,3.0,100,0.5841194968553458
637,entropy,10.0,1,3.0,1000,0.5841194968553458
638,entropy,10.0,1,4.0,1,0.5841194968553458
639,entropy,10.0,1,4.0,10,0.5841194968553458
640,entropy,10.0,1,4.0,100,0.5841194968553458
641,entropy,10.0,1,4.0,1000,0.5841194968553458
642,entropy,10.0,1,5.0,10,0.5841194968553458
643,entropy,10.0,log2,5.0,100,0.5841194968553458
644,entropy,10.0,1,5.0,100,0.5841194968553458
645,entropy,10.0,1,5.0,1000,0.5841194968553458
646,gini,3.0,sqrt,5.0,1000,0.5841194968553458
647,gini,3.0,sqrt,5.0,100,0.5841194968553458
648,gini,3.0,sqrt,5.0,10,0.5841194968553458
649,entropy,10.0,10,1.0,1,0.5841194968553458
650,entropy,10.0,10,1.0,10,0.5841194968553458
651,entropy,10.0,10,1.0,100,0.5841194968553458
652,entropy,10.0,10,1.0,1000,0.5841194968553458
653,entropy,10.0,10,2.0,1,0.5841194968553458
654,entropy,10.0,10,2.0,10,0.5841194968553458
655,entropy,10.0,10,2.0,100,0.5841194968553458
656,entropy,10.0,10,2.0,1000,0.5841194968553458
657,entropy,10.0,1,1.0,100,0.5841194968553458
658,entropy,10.0,1,1.0,10,0.5841194968553458
659,entropy,10.0,1,1.0,1,0.5841194968553458
660,gini,3.0,log2,1.0,1,0.5841194968553458
661,entropy,10.0,log2,5.0,1000,0.5841194968553458
662,gini,3.0,log2,2.0,100,0.5841194968553458
663,gini,3.0,log2,2.0,10,0.5841194968553458
664,gini,3.0,log2,2.0,1,0.5841194968553458
665,gini,3.0,log2,1.0,1000,0.5841194968553458
666,entropy,10.0,,1.0,1,0.5841194968553458
667,entropy,10.0,,1.0,10,0.5841194968553458
668,entropy,10.0,,1.0,100,0.5841194968553458
669,entropy,10.0,,1.0,1000,0.5841194968553458
670,entropy,10.0,,2.0,1,0.5841194968553458
671,entropy,10.0,,2.0,10,0.5841194968553458
672,entropy,10.0,,2.0,100,0.5841194968553458
673,entropy,10.0,,2.0,1000,0.5841194968553458
674,entropy,10.0,,3.0,1,0.5841194968553458
675,entropy,10.0,,3.0,10,0.5841194968553458
676,entropy,10.0,,3.0,100,0.5841194968553458
677,entropy,10.0,,3.0,1000,0.5841194968553458
678,entropy,10.0,,4.0,1,0.5841194968553458
679,entropy,10.0,,4.0,10,0.5841194968553458
680,entropy,10.0,,4.0,100,0.5841194968553458
