,C,coef0,decision_function_shape,gamma,kernel,Accuracy
136,1.0,1.0,ovo,1.0,linear,0.7733665269042628
137,8.0,1.0,ovr,0.001,linear,0.7733665269042628
138,8.0,1.0,ovo,3.0,linear,0.7733665269042628
139,8.0,1.0,ovo,1.0,linear,0.7733665269042628
140,1.0,1.0,ovo,3.0,linear,0.7733665269042628
141,8.0,1.0,ovo,0.5,linear,0.7733665269042628
142,1.0,0.0,ovr,0.001,linear,0.7733665269042628
143,8.0,1.0,ovo,0.01,linear,0.7733665269042628
144,8.0,0.0,ovr,0.01,linear,0.7733665269042628
145,1.0,1.0,ovr,0.001,linear,0.7733665269042628
146,8.0,1.0,ovo,0.001,linear,0.7733665269042628
147,1.0,1.0,ovr,0.01,linear,0.7733665269042628
148,1.0,0.0,ovo,3.0,linear,0.7733665269042628
149,8.0,3.0,ovo,0.1,linear,0.7733665269042628
150,8.0,0.0,ovr,3.0,linear,0.7733665269042628
151,1.0,1.0,ovr,0.1,linear,0.7733665269042628
152,8.0,0.0,ovr,1.0,linear,0.7733665269042628
153,8.0,0.0,ovr,0.5,linear,0.7733665269042628
154,8.0,0.0,ovr,0.1,linear,0.7733665269042628
155,1.0,0.0,ovr,0.01,linear,0.7733665269042628
156,8.0,1.0,ovr,0.01,linear,0.7733665269042628
157,1.0,1.0,ovo,0.5,linear,0.7733665269042628
158,8.0,2.0,ovr,0.5,linear,0.7733665269042628
159,1.0,1.0,ovo,0.001,linear,0.7733665269042628
160,7.0,3.0,ovo,0.001,linear,0.7733665269042628
161,8.0,2.0,ovo,0.001,linear,0.7733665269042628
162,8.0,2.0,ovo,0.01,linear,0.7733665269042628
163,1.0,1.0,ovo,0.01,linear,0.7733665269042628
164,8.0,2.0,ovo,0.1,linear,0.7733665269042628
165,1.0,0.0,ovr,3.0,linear,0.7733665269042628
166,8.0,2.0,ovo,0.5,linear,0.7733665269042628
167,8.0,2.0,ovo,1.0,linear,0.7733665269042628
168,8.0,1.0,ovr,3.0,linear,0.7733665269042628
169,8.0,2.0,ovo,3.0,linear,0.7733665269042628
170,1.0,0.0,ovr,1.0,linear,0.7733665269042628
171,8.0,2.0,ovr,0.001,linear,0.7733665269042628
172,1.0,0.0,ovr,0.5,linear,0.7733665269042628
173,1.0,1.0,ovo,0.1,linear,0.7733665269042628
174,8.0,2.0,ovr,0.01,linear,0.7733665269042628
175,8.0,2.0,ovr,0.1,linear,0.7733665269042628
176,8.0,1.0,ovr,1.0,linear,0.7733665269042628
177,1.0,0.0,ovr,0.1,linear,0.7733665269042628
178,8.0,1.0,ovr,0.5,linear,0.7733665269042628
179,8.0,1.0,ovr,0.1,linear,0.7733665269042628
180,1.0,1.0,ovr,0.5,linear,0.7733665269042628
181,8.0,3.0,ovo,0.01,linear,0.7733665269042628
182,8.0,3.0,ovo,0.5,linear,0.7733665269042628
183,1.0,0.0,ovo,0.1,linear,0.7733665269042628
184,7.0,3.0,ovr,0.5,linear,0.7733665269042628
185,1.0,2.0,ovo,0.5,linear,0.7733665269042628
186,7.0,3.0,ovr,0.1,linear,0.7733665269042628
187,7.0,3.0,ovr,0.01,linear,0.7733665269042628
188,1.0,1.0,ovr,1.0,linear,0.7733665269042628
189,8.0,3.0,ovr,0.01,linear,0.7733665269042628
190,8.0,3.0,ovr,0.1,linear,0.7733665269042628
191,7.0,3.0,ovr,0.001,linear,0.7733665269042628
192,7.0,3.0,ovo,3.0,linear,0.7733665269042628
193,1.0,2.0,ovo,3.0,linear,0.7733665269042628
194,7.0,3.0,ovo,1.0,linear,0.7733665269042628
195,7.0,3.0,ovr,3.0,linear,0.7733665269042628
196,7.0,3.0,ovo,0.5,linear,0.7733665269042628
